GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-webapp,com.increff.pos.dao,AbstractDao,0,125,0,0,0,25,0,8,0,8
pos-webapp,com.increff.pos.dao,ProductDao,0,72,0,0,0,22,0,5,0,5
pos-webapp,com.increff.pos.dao,OrdersDao,0,31,0,0,0,11,0,3,0,3
pos-webapp,com.increff.pos.dao,DashboardDao,0,43,0,0,0,9,0,5,0,5
pos-webapp,com.increff.pos.dao,ReportDao,11,57,2,2,3,15,3,5,1,5
pos-webapp,com.increff.pos.dao,InventoryDao,0,59,0,0,0,17,0,4,0,4
pos-webapp,com.increff.pos.dao,UserDao,18,3,0,0,6,1,1,1,1,1
pos-webapp,com.increff.pos.dao,OrderItemDao,0,17,0,0,0,4,0,2,0,2
pos-webapp,com.increff.pos.dao,ClientDao,0,21,0,0,0,7,0,2,0,2
pos-webapp,com.increff.pos.dto,ReportDto,17,0,0,0,4,0,4,0,4,0
pos-webapp,com.increff.pos.dto,UserDto,78,0,4,0,17,0,5,0,3,0
pos-webapp,com.increff.pos.dto,ProductDto,249,0,10,0,52,0,14,0,9,0
pos-webapp,com.increff.pos.dto,OrdersDto,52,0,0,0,10,0,6,0,6,0
pos-webapp,com.increff.pos.dto,DashboardDto,19,0,0,0,5,0,5,0,5,0
pos-webapp,com.increff.pos.dto,OrderItemDto,77,0,0,0,14,0,6,0,6,0
pos-webapp,com.increff.pos.dto,InventoryDto,49,0,0,0,9,0,4,0,4,0
pos-webapp,com.increff.pos.dto,ClientDto,235,0,12,0,51,0,15,0,9,0
pos-webapp,com.increff.pos.flow,OrderFlow,14,177,0,6,2,37,0,6,0,3
pos-webapp,com.increff.pos.flow,ProductFlow,0,38,0,2,0,10,0,3,0,2
pos-webapp,com.increff.pos.flow,OrderItemFlow,0,161,0,8,0,37,0,8,0,4
pos-webapp,com.increff.pos.service,OrderApi,0,39,0,0,0,13,0,7,0,7
pos-webapp,com.increff.pos.service,AbstractApi,0,53,0,4,0,13,0,5,0,3
pos-webapp,com.increff.pos.service,InventoryApi,0,98,0,4,0,25,0,10,0,8
pos-webapp,com.increff.pos.service,OrderItemApi,0,50,0,0,0,14,0,6,0,6
pos-webapp,com.increff.pos.service,ReportApi,0,294,2,14,0,57,2,10,0,4
pos-webapp,com.increff.pos.service,DashboardApi,19,0,0,0,5,0,5,0,5,0
pos-webapp,com.increff.pos.service,ClientApi,13,60,0,0,2,16,1,6,1,6
pos-webapp,com.increff.pos.service,ProductApi,0,84,0,2,0,22,0,7,0,6
pos-webapp,com.increff.pos.service,JwtService,102,0,2,0,21,0,12,0,11,0
pos-webapp,com.increff.pos.service,UserApi,0,44,0,2,0,13,0,5,0,4
pos-webapp,com.increff.pos.config,SpringConfig,113,0,0,0,19,0,7,0,7,0
pos-webapp,com.increff.pos.config,DbConfig,109,0,0,0,27,0,4,0,4,0
pos-webapp,com.increff.pos.config,SecurityConfig,130,0,0,0,27,0,5,0,5,0
pos-webapp,com.increff.pos.config,ApplicationProperties,24,0,0,0,8,0,8,0,8,0
pos-webapp,com.increff.pos.config,TestDbConfig,0,63,0,0,0,16,0,5,0,5
pos-webapp,com.increff.pos.config,SwaggerConfig,15,0,0,0,6,0,2,0,2,0
pos-webapp,com.increff.pos.config,JwtAuthenticationFilter,134,0,10,0,26,0,7,0,2,0
pos-webapp,com.increff.pos.config,WebInitializer,44,0,0,0,7,0,5,0,5,0
pos-webapp,com.increff.pos.controller,ControllerAdvice,38,0,4,0,11,0,7,0,4,0
pos-webapp,com.increff.pos.controller,UserController,60,0,4,0,12,0,7,0,5,0
pos-webapp,com.increff.pos.controller,ReportController,17,0,0,0,4,0,4,0,4,0
pos-webapp,com.increff.pos.controller,DashboardController,19,0,0,0,5,0,5,0,5,0
pos-webapp,com.increff.pos.controller,OrderItemController,28,0,0,0,6,0,5,0,5,0
pos-webapp,com.increff.pos.controller,ProductController,47,0,0,0,11,0,6,0,6,0
pos-webapp,com.increff.pos.controller,OrderController,27,0,0,0,7,0,5,0,5,0
pos-webapp,com.increff.pos.controller,ClientController,35,0,0,0,8,0,6,0,6,0
pos-webapp,com.increff.pos.controller,InventoryController,18,0,0,0,4,0,4,0,4,0
pos-webapp,com.increff.pos.util,AbstractMapper,33,0,4,0,9,0,6,0,4,0
pos-webapp,com.increff.pos.util,ValidationUtil,28,0,2,0,8,0,3,0,2,0
pos-webapp,com.increff.pos.util,NormalizeUtil,66,0,2,0,16,0,7,0,6,0
pos-webapp,com.increff.pos.util,ProductUtil,83,0,2,0,15,0,4,0,3,0
pos-webapp,com.increff.pos.util,TsvUtil,85,0,8,0,22,0,6,0,2,0
pos-webapp,com.increff.pos.util,ClientUtil,41,0,2,0,8,0,4,0,3,0
