GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-project,com.increff.pos.dao,AbstractDao,5,57,0,0,2,14,1,6,1,6
pos-project,com.increff.pos.dao,ProductDao,3,69,0,0,2,20,0,5,0,5
pos-project,com.increff.pos.dao,OrdersDao,0,3,0,0,0,1,0,1,0,1
pos-project,com.increff.pos.dao,ReportDao,65,3,4,0,17,1,7,1,5,1
pos-project,com.increff.pos.dao,InventoryDao,19,40,0,0,5,12,1,3,1,3
pos-project,com.increff.pos.dao,UserDao,0,44,0,0,0,14,0,3,0,3
pos-project,com.increff.pos.dao,OrderItemDao,0,3,0,0,0,1,0,1,0,1
pos-project,com.increff.pos.dao,ClientDao,0,21,0,0,0,7,0,2,0,2
pos-project,com.increff.pos.dto,ReportDto,17,0,0,0,4,0,4,0,4,0
pos-project,com.increff.pos.dto,UserDto,79,0,2,0,18,0,4,0,3,0
pos-project,com.increff.pos.dto,ProductDto,137,0,2,0,28,0,7,0,6,0
pos-project,com.increff.pos.dto,OrdersDto,25,0,0,0,5,0,3,0,3,0
pos-project,com.increff.pos.dto,OrderItemDto,69,0,0,0,13,0,5,0,5,0
pos-project,com.increff.pos.dto,InventoryDto,49,0,0,0,9,0,4,0,4,0
pos-project,com.increff.pos.dto,ClientDto,141,0,4,0,30,0,8,0,6,0
pos-project,com.increff.pos.api.service,ClientApi,58,16,0,0,15,3,5,2,5,2
pos-project,com.increff.pos.api.service,OrderItemApi,39,3,0,0,11,1,4,1,4,1
pos-project,com.increff.pos.api.service,InventoryApi,95,3,4,0,24,1,9,1,7,1
pos-project,com.increff.pos.api.service,OrderApi,20,3,0,0,6,1,3,1,3,1
pos-project,com.increff.pos.api.service,UserApi,31,18,2,0,7,6,4,2,3,2
pos-project,com.increff.pos.api.service,AbstractApi,40,13,4,0,8,5,4,1,2,1
pos-project,com.increff.pos.api.service,ReportApi,291,3,16,0,56,1,11,1,3,1
pos-project,com.increff.pos.api.service,CustomUserDetailsService,2,3,0,0,1,1,1,1,1,1
pos-project,com.increff.pos.api.service,ProductApi,70,3,2,0,18,1,5,1,4,1
pos-project,com.increff.pos.api.flow,OrderItemFlow,82,3,6,0,19,1,5,1,2,1
pos-project,com.increff.pos.api.flow,ProductFlow,35,3,2,0,9,1,2,1,1,1
pos-project,com.increff.pos.entity,Product,10,35,0,0,2,6,3,10,3,10
pos-project,com.increff.pos.entity,Inventory,7,17,0,0,1,4,2,5,2,5
pos-project,com.increff.pos.entity,User,7,24,0,0,1,5,2,7,2,7
pos-project,com.increff.pos.entity,BaseEntity,9,3,0,0,3,1,3,1,3,1
pos-project,com.increff.pos.entity,OrderItem,35,3,0,0,6,1,10,1,10,1
pos-project,com.increff.pos.entity,Client,4,13,0,0,0,4,1,4,1,4
pos-project,com.increff.pos.entity,Orders,7,3,0,0,2,1,2,1,2,1
pos-project,com.increff.pos.config,SpringConfig,100,0,0,0,16,0,7,0,7,0
pos-project,com.increff.pos.config,DbConfig,109,0,0,0,27,0,4,0,4,0
pos-project,com.increff.pos.config,SecurityConfig,171,0,0,0,31,0,5,0,5,0
pos-project,com.increff.pos.config,TestConfig,0,82,0,0,0,21,0,6,0,6
pos-project,com.increff.pos.config,ApplicationProperties,24,0,0,0,8,0,8,0,8,0
pos-project,com.increff.pos.config,SwaggerConfig,15,0,0,0,6,0,2,0,2,0
pos-project,com.increff.pos.config,WebInitializer,32,0,0,0,4,0,4,0,4,0
pos-project,com.increff.pos.model.data,OrderData,10,0,0,0,3,0,3,0,3,0
pos-project,com.increff.pos.model.data,OrderItemData,38,0,0,0,7,0,11,0,11,0
pos-project,com.increff.pos.model.data,ProductData,45,0,0,0,8,0,13,0,13,0
pos-project,com.increff.pos.model.data,ClientData,17,0,0,0,4,0,5,0,5,0
pos-project,com.increff.pos.model.data,TopSellingProductData,45,0,0,0,8,0,13,0,13,0
pos-project,com.increff.pos.model.data,DashboardSummaryData,52,0,0,0,9,0,15,0,15,0
pos-project,com.increff.pos.model.data,RevenueTrendData,31,0,0,0,6,0,9,0,9,0
pos-project,com.increff.pos.model.data,UserData,24,0,0,0,5,0,7,0,7,0
pos-project,com.increff.pos.model.data,InventoryData,24,0,0,0,5,0,7,0,7,0
pos-project,com.increff.pos.commons,ApiException.ErrorType,44,0,0,0,5,0,1,0,1,0
pos-project,com.increff.pos.commons,ApiException,17,0,0,0,7,0,3,0,3,0
pos-project,com.increff.pos.commons,Constants,3,0,0,0,1,0,1,0,1,0
pos-project,com.increff.pos.model.form,OrderItemForm,24,0,0,0,5,0,7,0,7,0
pos-project,com.increff.pos.model.form,UserForm,17,0,0,0,4,0,5,0,5,0
pos-project,com.increff.pos.model.form,ClientForm,10,0,0,0,3,0,3,0,3,0
pos-project,com.increff.pos.model.form,OrderForm,3,0,0,0,1,0,1,0,1,0
pos-project,com.increff.pos.model.form,InventoryForm,10,0,0,0,3,0,3,0,3,0
pos-project,com.increff.pos.model.form,ProductUpdateForm,24,0,0,0,5,0,7,0,7,0
pos-project,com.increff.pos.model.form,ProductForm,38,0,0,0,7,0,11,0,11,0
pos-project,com.increff.pos.controller,ControllerAdvice,38,0,4,0,11,0,7,0,4,0
pos-project,com.increff.pos.controller,UserController,14,0,0,0,4,0,3,0,3,0
pos-project,com.increff.pos.controller,ReportController,17,0,0,0,4,0,4,0,4,0
pos-project,com.increff.pos.controller,OrderItemController,23,0,0,0,5,0,5,0,5,0
pos-project,com.increff.pos.controller,ProductController,28,0,0,0,6,0,6,0,6,0
pos-project,com.increff.pos.controller,OrderController,12,0,0,0,3,0,3,0,3,0
pos-project,com.increff.pos.controller,ClientController,28,0,0,0,6,0,6,0,6,0
pos-project,com.increff.pos.controller,InventoryController,18,0,0,0,4,0,4,0,4,0
pos-project,com.increff.pos.util,AbstractMapper,33,0,4,0,9,0,6,0,4,0
pos-project,com.increff.pos.util,ValidationUtil,28,0,2,0,8,0,3,0,2,0
pos-project,com.increff.pos.util,NormalizeUtil,48,0,0,0,12,0,5,0,5,0
pos-project,com.increff.pos.util,ProductUtil,83,0,2,0,15,0,4,0,3,0
pos-project,com.increff.pos.util,TsvUtil,85,0,8,0,22,0,6,0,2,0
pos-project,com.increff.pos.util,ClientUtil,41,0,2,0,8,0,4,0,3,0
